,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin_Class,Cabin_Num,Status,Married
0,1,0,3,Mr,0,22.0,1,0,A/5 21171,7.0,2,,,1.0,
1,2,1,1,Mrs,1,38.0,1,0,PC 17599,71.0,0,3.0,85,1.0,1.0
2,3,1,3,Miss,1,26.0,0,0,STON/O2. 3101282,8.0,2,,,1.0,0.0
3,4,1,1,Mrs,1,35.0,1,0,113803,53.0,2,3.0,123,1.0,1.0
4,5,0,3,Mr,0,35.0,0,0,373450,8.0,2,,,1.0,
5,6,0,3,Mr,0,,0,0,330877,8.0,1,,,1.0,
6,7,0,1,Mr,0,54.0,0,0,17463,52.0,2,5.0,46,1.0,
7,8,0,3,Master,0,2.0,3,1,349909,21.0,2,,,2.0,
8,9,1,3,Mrs,1,27.0,0,2,347742,11.0,2,,,1.0,1.0
9,10,1,2,Mrs,1,14.0,1,0,237736,30.0,0,,,1.0,1.0
10,11,1,3,Miss,1,4.0,1,1,PP 9549,17.0,2,7.0,6,1.0,0.0
11,12,1,1,Miss,1,58.0,0,0,113783,27.0,2,3.0,103,1.0,0.0
12,13,0,3,Mr,0,20.0,0,0,A/5. 2151,8.0,2,,,1.0,
13,14,0,3,Mr,0,39.0,1,5,347082,31.0,2,,,1.0,
14,15,0,3,Miss,1,14.0,0,0,350406,8.0,2,,,1.0,0.0
15,16,1,2,Mrs,1,55.0,0,0,248706,16.0,2,,,1.0,1.0
16,17,0,3,Master,0,2.0,4,1,382652,29.0,1,,,2.0,
17,18,1,2,Mr,0,,0,0,244373,13.0,2,,,1.0,
18,19,0,3,Mrs,1,31.0,1,0,345763,18.0,2,,,1.0,1.0
19,20,1,3,Mrs,1,,0,0,2649,7.0,0,,,1.0,1.0
20,21,0,2,Mr,0,35.0,0,0,239865,26.0,2,,,1.0,
21,22,1,2,Mr,0,34.0,0,0,248698,13.0,2,4.0,56,1.0,
22,23,1,3,Miss,1,15.0,0,0,330923,8.0,1,,,1.0,0.0
23,24,1,1,Mr,0,28.0,0,0,113788,36.0,2,1.0,6,1.0,
24,25,0,3,Miss,1,8.0,3,1,349909,21.0,2,,,1.0,0.0
25,26,1,3,Mrs,1,38.0,1,5,347077,31.0,2,,,1.0,1.0
26,27,0,3,Mr,0,,0,0,2631,7.0,0,,,1.0,
27,28,0,1,Mr,0,19.0,3,2,19950,263.0,2,3.0,23,1.0,
28,29,1,3,Miss,1,,0,0,330959,8.0,1,,,1.0,0.0
29,30,0,3,Mr,0,,0,0,349216,8.0,2,,,1.0,
30,31,0,1,Don,0,40.0,0,0,PC 17601,28.0,0,,,3.0,
31,32,1,1,Mrs,1,,1,0,PC 17569,147.0,0,2.0,78,1.0,1.0
32,33,1,3,Miss,1,,0,0,335677,8.0,1,,,1.0,0.0
33,34,0,2,Mr,0,66.0,0,0,C.A. 24579,10.0,2,,,1.0,
34,35,0,1,Mr,0,28.0,1,0,PC 17604,82.0,0,,,1.0,
35,36,0,1,Mr,0,42.0,1,0,113789,52.0,2,,,1.0,
36,37,1,3,Mr,0,,0,0,2677,7.0,0,,,1.0,
37,38,0,3,Mr,0,21.0,0,0,A./5. 2152,8.0,2,,,1.0,
38,39,0,3,Miss,1,18.0,2,0,345764,18.0,2,,,1.0,0.0
39,40,1,3,Miss,1,14.0,1,0,2651,11.0,0,,,1.0,0.0
40,41,0,3,Mrs,1,40.0,1,0,7546,9.0,2,,,1.0,1.0
41,42,0,2,Mrs,1,27.0,1,0,11668,21.0,2,,,1.0,1.0
42,43,0,3,Mr,0,,0,0,349253,8.0,0,,,1.0,
43,44,1,2,Miss,1,3.0,1,2,SC/Paris 2123,42.0,0,,,1.0,0.0
44,45,1,3,Miss,1,19.0,0,0,330958,8.0,1,,,1.0,0.0
45,46,0,3,Mr,0,,0,0,S.C./A.4. 23567,8.0,2,,,1.0,
46,47,0,3,Mr,0,,1,0,370371,16.0,1,,,1.0,
47,48,1,3,Miss,1,,0,0,14311,8.0,1,,,1.0,0.0
48,49,0,3,Mr,0,,2,0,2662,22.0,0,,,1.0,
49,50,0,3,Mrs,1,18.0,1,0,349237,18.0,2,,,1.0,1.0
50,51,0,3,Master,0,7.0,4,1,3101295,40.0,2,,,2.0,
51,52,0,3,Mr,0,21.0,0,0,A/4. 39886,8.0,2,,,1.0,
52,53,1,1,Mrs,1,49.0,1,0,PC 17572,77.0,0,4.0,33,1.0,1.0
53,54,1,2,Mrs,1,29.0,1,0,2926,26.0,2,,,1.0,1.0
54,55,0,1,Mr,0,65.0,0,1,113509,62.0,0,2.0,30,1.0,
55,56,1,1,Mr,0,,0,0,19947,36.0,2,3.0,52,1.0,
56,57,1,2,Miss,1,21.0,0,0,C.A. 31026,10.0,2,,,1.0,0.0
57,58,0,3,Mr,0,28.5,0,0,2697,7.0,0,,,1.0,
58,59,1,2,Miss,1,5.0,1,2,C.A. 34651,28.0,2,,,1.0,0.0
59,60,0,3,Master,0,11.0,5,2,CA 2144,47.0,2,,,2.0,
60,61,0,3,Mr,0,22.0,0,0,2669,7.0,0,,,1.0,
62,63,0,1,Mr,0,45.0,1,0,36973,83.0,2,3.0,83,1.0,
63,64,0,3,Master,0,4.0,3,2,347088,28.0,2,,,2.0,
64,65,0,1,Mr,0,,0,0,PC 17605,28.0,0,,,1.0,
65,66,1,3,Master,0,,1,1,2661,15.0,0,,,2.0,
66,67,1,2,Mrs,1,29.0,0,0,C.A. 29395,10.0,2,6.0,33,1.0,1.0
67,68,0,3,Mr,0,19.0,0,0,S.P. 3464,8.0,2,,,1.0,
68,69,1,3,Miss,1,17.0,4,2,3101281,8.0,2,,,1.0,0.0
69,70,0,3,Mr,0,26.0,2,0,315151,9.0,2,,,1.0,
70,71,0,2,Mr,0,32.0,0,0,C.A. 33111,10.0,2,,,1.0,
71,72,0,3,Miss,1,16.0,5,2,CA 2144,47.0,2,,,1.0,0.0
72,73,0,2,Mr,0,21.0,0,0,S.O.C. 14879,74.0,2,,,1.0,
